TABLE S4: 3D7 vs HB3 Competitive Genomic Hybridization Data
Bozdech & Llinas et al.

This table contains all of the intensity data from competitive genomic hybridizations of genomic  
DNA derived from the 3D7 and HB3 strains of P. falciparum. The averaged intensities from three
microarray hybridization experiments are listed.  A %3D7 intensity in the HB3 channel 
of '-1' indicates that signal in these spots for one or both of the strains was below background.
Strains used in this study were obtained from the Malaria Resource Center (MR4).

Column 1: Oligonucleotide ID
Column 2: PlasmoDB ID
Column 3: PlasmoDB Manual annotation 
Column 4: Averaged normalized intensity for strain 3D7
Column 5: Averaged normalized intensity for strain HB3
Column 6: % of 3D7 intensity in the HB3 channel

Oligonucleotide ID	PlasmoDB ID	Manual annotation	3D7 averaged normalized intensity	HB3 averaged normalized intensity	%3D7 intensity
F35105_2	PF07_0119	hypothetical protein	427.62	474.83	1.11
F35197_1	MAL7P1.138	hypothetical protein	610.95	595.83	0.98
F35197_2	MAL7P1.139	mago nashi protein homolog, putative	1234.62	1210.5	0.98
F35204_1	NULL		50330.28	42650.5	0.85
F35293_1	NULL		4555.95	3134.83	0.69
F35310_1	MAL6P1.150	acetyl-CoA synthetase	622.95	568.16	0.91
F35393_1	NULL		932.62	958.5	1.03
F35453_1	PFL0070c	hypothetical protein	1200.95	917.83	0.76
F35531_1	MAL6P1.73	translation initiation factor IF-2, putative	593.95	594.5	1
F35570_2	MAL8P1.160	hypothetical protein	319.62	357.16	1.12
F35590_1	MAL7P1.162	dynein heavy chain, putative	739.28	653.5	0.88
F357_2	MAL8P1.153	hypothetical protein	535.62	437.16	0.82
F3575_1	NULL		823.28	806.83	0.98
F35756_14	PFE1320w	hypothetical protein	1047.95	924.16	0.88
F35756_2	PFE1340w	transmembrane protein, putative	1182.95	966.5	0.82
F35756_3	NULL		618.28	562.83	0.91
F35756_5	PFE1330c	hypothetical protein	538.28	557.5	1.04
F35774_1	MAL7P1.27	chloroquine resistance transporter, putative	814.95	729.5	0.9
F35823_1	NULL		457.62	516.83	1.13
F35860_1	MAL6P1.147	hypothetical protein	842.28	790.5	0.94
F36083_1	MAL7P1.146	hypothetical protein	1034.62	712.5	0.69
F36098_1	PFI1800w	enzyme, putative	417.95	411.16	0.98
F36120_1	PFE0190c	hypothetical protein	752.62	636.5	0.85
F36341_2	NULL		423.28	424.16	1
F36356_2	PFE0595w	hypothetical protein	665.62	744.5	1.12
F36356_4	PFE0595w	hypothetical protein	771.28	670.83	0.87
F36356_6	PFE0605c	glutathione synthetase	427.62	449.83	1.05
F36374_1	MAL8P1.153	hypothetical protein	353.28	371.5	1.05
F36380_1	NULL		785.62	724.83	0.92
F36380_5	PFD0245c	ATP-dependant RNA helicae-like protein	808.28	658.83	0.82
F36383_1	PF08_0126	DNA repair protein rad54, putative	356.28	368.83	1.04
F36606_1	NULL		134.93	88.81	0.66
F36637_1	MAL13P1.39	hypothetical protein	1120.28	739.83	0.66
F3664_1	MAL8P1.23	ubiquitin-protein ligase 1, putative	430.62	413.16	0.96
F36648_1	MAL8P1.140	methionine aminopeptidase, putative	780.28	736.83	0.94
F36648_2	MAL8P1.140	methionine aminopeptidase, putative	645.28	602.5	0.93
F3666_3	MAL8P1.98	hypothetical protein	1117.62	946.83	0.85
F36721_2	NULL		613.95	586.5	0.96
F36721_3	NULL		5521.62	4913.16	0.89
F36721_5	MAL7P1.86	transcription initiation factor iie, alpha subunit, putative	432.62	494.5	1.14
F36734_1	NULL		737.62	729.16	0.99
F36767_1	PFE1065w	hypothetical protein	425.28	446.83	1.05
F36803_1	PF08_0021	hypothetical protein	1004.28	848.5	0.84
F36958_1	MAL6P1.191	protein kinase, putative	317.95	316.5	1
F37098_2	PFI0975c	hypothetical protein	777.28	723.5	0.93
F37100_2	PFI1735c	hypothetical protein	569.95	566.16	0.99
F37292_1	MAL6P1.108	calcium-dependent protein kinase	452.28	505.16	1.12
F37362_1	MAL8P1.144	hypothetical protein	436.62	444.16	1.02
F37487_1	PFI0975c	hypothetical protein	607.62	610.83	1.01
F37536_1	PF08_0022	hypothetical protein, conserved in P. falciparum	565.95	545.83	0.96
F37850_1	PFI1395w	hypothetical protein	556.95	588.16	1.06
F37871_2	MAL6P1.268	hypothetical protein	516.28	440.16	0.85
F3798_1	PF08_0073	hypothetical protein	481.95	442.83	0.92
F38025_1	MAL6P1.168	hypothetical protein	444.95	431.83	0.97
F38306_1	NULL		217.28	245.5	1.13
F38531_2	PFE1070c	hypothetical protein	572.28	611.16	1.07
F38531_3	NULL		571.62	755.16	1.32
F38618_1	MAL7P1.147	ubiquitin carboxyl-terminal hydrolase, putative	781.95	678.5	0.87
F38658_1	PF08_0061	hypothetical protein	496.95	497.83	1
F38658_2	PF08_0061	hypothetical protein	515.62	478.16	0.93
F38861_1	MAL6P1.104	step II splicing factor, putative	813.28	760.5	0.94
F39050_1	MAL6P1.93	hypothetical protein	1099.95	1116.5	1.02
F39079_1	MAL6P1.135	phosphatidylcholine-sterol acyltransferase precursor, putative	258.95	250.83	0.97
F39214_1	NULL		221.62	220.83	1
F39274_1	MAL8P1.29	hypothetical protein	937.95	908.83	0.97
F39274_2	MAL8P1.29	hypothetical protein	489.28	519.83	1.06
F39343_2	MAL8P1.78	small heat shock protein	702.28	646.83	0.92
F39343_3	PF08_0063	hypothetical protein	484.95	478.5	0.99
F39414_1	MAL8P1.124	hypothetical protein	875.95	827.5	0.94
F39428_1	MAL6P1.37	hypothetical protein	860.62	883.16	1.03
F39459_1	NULL		960.28	710.16	0.74
F39544_1	PF07_0048	erythrocyte membrane protein 1 (PfEMP1)	533.28	25.5	0.05
F39840_1	PF14_0283	hypothetical protein	579.62	636.83	1.1
F39877_1	PFE1220w	hypothetical protein	498.95	541.16	1.08
F39902_1	PF00_0003	hypothetical protein	1018.95	1042.16	1.02
F39907_1	NULL		696.62	1304.5	1.87
F40116_1	MAL7P1.124	hypothetical protein	585.62	626.5	1.07
F403_1	MAL7P1.76	hypothetical protein	884.28	710.16	0.8
F40451_2	NULL		7060.28	6772.5	0.96
F40493_1	PF08_0079	hypothetical protein	681.95	717.83	1.05
F40499_1	PF07_0020	hypothetical protein	667.62	595.83	0.89
F40569_1	NULL		656.62	580.16	0.88
F40572_9	PFE0980c	hypothetical protein	1216.95	1026.83	0.84
F40758_1	NULL		759.95	673.16	0.89
F40758_2	NULL		866.62	830.16	0.96
F4077_2	NULL		626.95	79.83	0.13
F4077_3	NULL		573.95	138.16	0.24
F40797_1	PF11_0507	antigen 332, putative	367.28	642.83	1.75
F41021_1	PF08_0026	hypothetical protein	694.28	593.16	0.85
F41218_2	MAL7P1.20	peptide chain release factor	663.28	615.16	0.93
F41306_3	NULL		1325.95	1179.83	0.89
F41361_1	MAL6P1.192	ATP-dependent DEAD box helicase, putative	944.95	849.83	0.9
F41385_1	PF08_0118	hypothetical protein	715.28	710.83	0.99
F41385_2	PF08_0118	hypothetical protein	1396.28	1335.83	0.96
F41704_1	MAL6P1.169	hypothetical protein	917.28	1013.5	1.1
F41728_1	MAL6P1.93	hypothetical protein	1025.28	980.5	0.96
F41772_1	NULL		870.28	830.83	0.95
F41772_3	NULL		759.95	663.83	0.87
F41772_4	NULL		735.28	767.16	1.04
F41817_1	MAL6P1.107	hypothetical protein	782.62	725.16	0.93
F41820_1	MAL8P1.104	hypothetical protein	864.95	993.16	1.15
F41828_1	MAL6P1.283	hypothetical protein	1319.95	1200.5	0.91
F41917_2	NULL		310.62	374.5	1.21
F42062_1	MAL7P1.25	hypothetical protein	358.62	316.5	0.88
F42069_1	PFE0425w	hypothetical protein	724.95	618.16	0.85
F42069_4	PFE0415w	transcription factor iib, putative	394.62	353.83	0.9
F42072_1	NULL		1085.28	891.83	0.82
F42072_2	MAL6P1.43	hypothetical protein	709.62	596.16	0.84
F42112_4	PFE0620c	hypothetical protein	1297.62	1072.83	0.83
F42117_4	PFE0935c	RNA-binding protein, putative	446.28	400.83	0.9
F4218_1	MAL7P1.164	adaptor-related protein, putative	831.28	642.83	0.77
F42308_1	MAL8P1.154	hypothetical protein	928.95	862.83	0.93
F42424_1	PF07_0065	zinc transporter, putative	524.28	502.16	0.96
F42543_3	PFE0290c	hypothetical protein	962.95	907.5	0.94
F42552_1	PFI0170w	hypothetical protein	743.62	660.5	0.89
F42564_1	PFE1295c	hypothetical protein	679.62	531.5	0.78
F42570_2	MAL8P1.143	hypothetical protein	555.28	572.5	1.03
F42602_1	PF08_0020	hypothetical protein	346.28	305.16	0.88
F42637_1	PF10_0374	gene 11-1 protein precursor	246.62	245.5	1
F42637_2	PF10_0374	gene 11-1 protein precursor	1255.62	1084.83	0.86
F42661_1	NULL		35.1	12.44	0.35
F42703_3	PF08_0121	peptidyl-prolyl cis-trans isomerase precursor	937.28	896.83	0.96
F42703_4	PF08_0120	hypothetical protein	1378.93	1448.31	1.05
F4271_1	PFE1550w	hypothetical protein	489.62	509.16	1.04
F42768_1	PF10_0232	hypothetical protein	880.62	799.83	0.91
F42803_1	MAL7P1.67	hypothetical protein	886.62	877.16	0.99
F42803_3	MAL7P1.66	hypothetical protein	489.28	524.5	1.07
F42803_4	NULL		61.28	42.83	0.7
F42841_1	NULL		3146.95	1169.83	0.37
F42892_1	PF08_0123	hypothetical protein	931.95	827.16	0.89
F42937_1	PFL1885c	calcium/calmodulin-dependent protein kinase 2, putative	282.95	279.83	0.99
F43059_2	MAL6P1.41	hypothetical protein	617.62	587.5	0.95
F43064_1	PF07_0121	hypothetical protein, conserved	664.28	627.5	0.94
F43064_2	MAL7P1.159	antioxidant protein, putative	738.95	692.5	0.94
F43138_1	NULL		972.62	991.83	1.02
F43397_1	MAL6P1.38	calcium antiporter, putative	705.28	592.83	0.84
F43438_1	PF08_0115	hypothetical protein	763.28	728.5	0.95
F43438_3	MAL8P1.133	hypothetical protein, conserved	786.28	600.16	0.76
F43493_1	NULL		2138.62	2299.5	1.08
F43617_1	MAL6P1.48	hypothetical protein, expressed	648.95	720.5	1.11
F4380_1	MAL7P1.15	hypothetical protein	945.95	811.16	0.86
F43935_4	NULL		547.28	588.83	1.08
F44099_1	NULL		405.95	363.83	0.9
F44099_2	NULL		500.62	463.5	0.93
F4422_1	NULL		3371.62	3599.83	1.07
F4422_2	PF08_0066	lipoamide dehydrogenase, putative	891.62	859.83	0.96
F4422_3	PF08_0065	hypothetical protein, conserved	689.28	668.16	0.97
F44245_1	MAL7P1.100	serine/threonine protein kinase 2, putative	661.95	780.83	1.18
F4425_1	MAL6P1.232	cell division cycle protein 48 homologue, putative	451.95	444.5	0.98
F44372_1	MAL6P1.262	hypothetical protein	640.28	1145.5	1.79
F4481_1	NULL		1609.95	1311.5	0.81
F44837_1	NULL		988.62	1133.16	1.15
F44837_3	PFE0685w	hypothetical protein	4137.28	3628.83	0.88
F44853_1	PF08_0017	hypothetical protein	846.62	816.83	0.96
F44853_2	PF08_0017	hypothetical protein	884.95	839.16	0.95
F44871_1	NULL		360.28	187.5	0.52
F44871_2	PF08_0140	erythrocyte membrane protein 1 (PfEMP1)	415.95	92.83	0.22
F44892_1	MAL7P1.104	3'-5' exoribonuclease Csl4 homolog, putative	922.95	801.5	0.87
F44892_2	NULL		754.28	791.16	1.05
F44947_3	PFD0235c	hypothetical protein	1045.95	912.83	0.87
F4495_1	PF07_0061	hypothetical protein	650.28	723.5	1.11
F4501_1	MAL6P1.257	hypothetical protein	706.95	553.16	0.78
F45046_1	NULL		962.95	935.5	0.97
F45046_2	NULL		479.28	391.16	0.82
F45048_1	MAL8P1.150	hypothetical protein	771.62	761.5	0.99
F45048_2	MAL8P1.150	hypothetical protein	709.28	590.83	0.83
F45048_3	MAL8P1.150	hypothetical protein	727.62	659.83	0.91
F45048_4	MAL8P1.149	hypothetical protein	760.62	648.16	0.85
F45228_1	MAL6P1.201	leucyl-tRNA synthetase, cytoplasmic, putative	596.62	565.83	0.95
F45236_1	MAL6P1.100	hypothetical protein	544.62	617.16	1.13
F4524_2	NULL		759.28	744.5	0.98
F4524_3	NULL		416.28	454.83	1.09
F45252_1	MAL8P1.104	hypothetical protein	834.95	693.83	0.83
F45253_1	MAL7P1.164	adaptor-related protein, putative	871.95	783.5	0.9
F45282_1	PFD0260c	sequestrin	1085.62	1066.16	0.98
F45296_1	PF07_0118	hypothetical protein	563.62	526.16	0.93
F45296_2	PF07_0118	hypothetical protein	1284.95	1194.5	0.93
F45342_1	PFE0840c	hypothetical protein	416.62	474.16	1.14
F45342_2	PFE0840c	hypothetical protein	520.95	544.5	1.05
F45354_1	PF07_0116	hypothetical protein	996.62	962.5	0.97
F45387_1	PF07_0102	hypothetical protein	674.38	709.53	1.05
F4541_1	MAL8P1.32	nucleoside transporter, putative	659.62	634.16	0.96
F45432_1	MAL7P1.24	hypothetical protein, conserved	589.28	473.16	0.8
F45512_1	MAL8P1.11	hypothetical protein	440.95	498.16	1.13
F45524_1	PF07_0005	lysophospholipases-like protein, putative	475.28	437.16	0.92
F45556_3	PFE1260c	hypothetical protein	671.95	670.83	1
F4565_1	PFE0345c	hypothetical protein	907.62	818.5	0.9
F4565_4	NULL		689.28	718.5	1.04
F45683_2	PFD0410c	hypothetical protein	657.62	589.16	0.9
F45807_3	PFI0185w	hypothetical protein	642.95	575.5	0.9
F45814_1	PF11_0012	hypothetical protein	1481.95	506.83	0.34
F45820_1	MAL6P1.39	hypothetical protein	679.28	600.83	0.88
F45820_2	NULL		808.28	732.5	0.91
F46067_1	NULL		267.62	278.83	1.04
F46067_3	PFI0925w	gamma-glutamylcysteine synthetase	557.95	467.83	0.84
F46067_4	PFI0925w	gamma-glutamylcysteine synthetase	576.62	570.16	0.99
F46181_1	MAL8P1.141	hypothetical protein	467.95	453.5	0.97
F46183_2	MAL7P1.128	hypothetical protein	979.28	807.83	0.82
F46267_2	MAL7P1.13	hypothetical protein	767.62	760.83	0.99
F46301_17	PFE1435c	hypothetical protein	521.28	555.83	1.07
F46301_8	NULL		1015.95	949.83	0.93
F46320_2	PF07_0012	hypothetical protein	617.95	619.5	1
F46381_1	MAL6P1.110	transketolase, putative	1020.62	1052.16	1.03
F46424_1	NULL		3322.95	2118.5	0.64
F46513_1	PF08_0132	glutamate dehydrogenase	728.62	606.16	0.83
F46513_2	NULL		1036.62	913.83	0.88
F4658_1	MAL6P1.146	P. falciparum PK4 protein kinase	351.62	402.16	1.14
F46584_1	NULL		517.62	462.83	0.89
F46705_1	PF08_0137	hypothetical protein	356.95	380.5	1.07
F4675_1	PFD0985w	hypothetical protein	824.95	794.16	0.96
F46816_1	PF08_0130	wd repeat protein, putative	927.95	785.83	0.85
F46816_2	PF08_0131	1-cys peroxidoxin	349.95	373.5	1.07
F4688_1	PFI1180w	hypothetical protein	309.28	340.5	1.1
F47025_1	NULL		419.28	362.16	0.86
F47068_10	NULL		914.28	808.83	0.88
F47068_6	PFE0460c	hypothetical protein	775.95	670.16	0.86
F47145_2	MAL6P1.24	ATP dependent RNA helicase, putative	415.62	445.83	1.07
F47160_1	MAL7P1.177	predicted integral membrane protein, conserved in P. falciparum	752.62	793.16	1.05
F47237_2	NULL		347.95	379.5	1.09
F47255_1	NULL		1469.62	1398.5	0.95
F47255_2	PF08_0033	hypothetical protein, conserved	797.28	706.5	0.89
F47255_3	MAL8P1.38	hypothetical protein	528.28	447.5	0.85
F47255_5	MAL8P1.38	hypothetical protein	426.95	435.5	1.02
F4732_2	MAL8P1.146	hypothetical protein	645.62	545.83	0.85
F47327_1	MAL6P1.216	hypothetical protein	599.62	606.16	1.01
F47350_1	NULL		639.95	574.5	0.9
F47563_1	PFI1580c	DHHC-type zinc finger protein, putative	695.62	689.83	0.99
F47790_1	MAL6P1.49	DNA helicase, putative	848.62	696.5	0.82
F47822_1	PF07_0096	hypothetical protein	883.62	855.83	0.97
F47864_1	PF07_0039	hypothetical protein	733.95	763.16	1.04
F47864_3	MAL7P1.28	hypothetical protein	1060.28	911.83	0.86
F47984_1	PFE0195w	P-type ATPase, putative	955.95	940.5	0.98
F48130_2	PFE1525w	hypothetical protein	824.62	781.83	0.95
F48138_1	MAL8P1.35	exonuclease, putative	594.62	652.16	1.1
F48181_1	MAL7P1.113	DEAD box helicase, putative	467.95	551.5	1.18
F48181_2	MAL7P1.113	DEAD box helicase, putative	518.28	552.83	1.07
F48197_1	PF08_0109	hypothetical protein	634.95	656.5	1.03
F48253_3	MAL7P1.89	hypothetical protein	450.95	528.16	1.17
F48253_5	MAL7P1.89	hypothetical protein	575.62	568.16	0.99
F48253_6	MAL7P1.89	hypothetical protein	639.62	588.83	0.92
F48270_1	MAL6P1.259	hypothetical protein	615.28	605.83	0.98
F48363_2	MAL7P1.89	hypothetical protein	603.62	555.5	0.92
F48363_3	MAL7P1.89	hypothetical protein	541.28	509.5	0.94
F48395_1	MAL6P1.247	hypothetical protein	796.28	721.16	0.91
F48424_1	NULL		32361.62	34807.16	1.08
F48424_2	MAL7P1.134	hypothetical protein	794.28	714.83	0.9
F48424_3	MAL7P1.134	hypothetical protein	613.28	544.83	0.89
F48433_1	MAL8P1.138	hypothetical protein, conserved	999.95	848.16	0.85
F48446_1	PF07_0086	hypothetical protein	685.62	525.83	0.77
F48446_2	PF07_0087	hypothetical protein	1107.28	940.16	0.85
F48446_5	MAL7P1.112	hypothetical protein	1476.95	1364.16	0.92
F48446_9	NULL		4627.28	4264.5	0.92
F48446_9d	NULL		36.93	27.31	0.74
F48446_9f	NULL		47.1	-16.56	-1
F48446_9g	NULL		88.95	34.5	0.39
F48446_9h	NULL		45.1	-2.56	-1
F48446_9i	NULL		162.95	97.16	0.6
F48446_9j	NULL		254.95	282.16	1.11
F48515_1	MAL8P1.11	hypothetical protein	944.28	797.5	0.84
F48622_4	PF08_0013	hypothetical protein	952.62	849.16	0.89
F48773_2	NULL		428.28	393.5	0.92
F48839_1	PFI0730w	hypothetical protein	868.95	724.5	0.83
F49071_1	NULL		614.95	658.16	1.07
F49178_1	MAL6P1.315	rifin	558.95	89.83	0.16
F49328_1	MAL8P1.84	hypothetical protein	747.62	683.83	0.91
F4934_1	MAL8P1.54	hypothetical protein	926.95	889.5	0.96
F49439_1	MAL7P1.16	hypothetical protein	729.28	623.16	0.85
F49538_1	MAL7P1.19	hypothetical protein	1441.62	1315.16	0.91
F49582_1	PFE1400c	beta adaptin protein, putative	453.28	453.5	1
F49644_2	PF07_0127	hypothetical protein	602.62	592.83	0.98
F49644_4	MAL7P1.167	hypothetical protein	648.62	743.83	1.15
F49644_5	MAL7P1.167	hypothetical protein	651.28	636.5	0.98
F49665_1	NULL		631.95	536.5	0.85
F49677_1	MAL7P1.76	hypothetical protein	751.28	726.83	0.97
F49677_3	MAL7P1.76	hypothetical protein	611.95	587.83	0.96
F49857_1	MAL7P1.73	calcium/calmodulin-dependent protein kinase, putative	980.28	836.83	0.85
F49959_1	MAL6P1.115	hypothetical protein	583.28	502.5	0.86
F49959_2	MAL6P1.115	hypothetical protein	579.28	572.5	0.99
F50107_1	PFA0380w	serine/threonine protein kinase, putative	426.95	422.5	0.99
F5048_1	PFI0570w	GTP-binding protein, putative	959.62	1043.83	1.09
F50551_1	PFI0685w	pseudouridylate synthase, putative	595.62	555.5	0.93
F50580_1	PF08_0084	hypothetical protein	1067.95	966.5	0.91
F50598_1	NULL		776.28	696.16	0.9
F50871_1	PF07_0051	erythrocyte membrane protein 1 (PfEMP1)	672.62	94.5	0.14
F50872_1	PF07_0028	hypothetical protein	674.62	677.5	1
F50986_1	PFD0595w	hypothetical protein	591.95	649.83	1.1
F51040_1	PF07_0111	hypothetical protein	940.28	848.5	0.9
F51106_1	NULL		528.28	543.5	1.03
F51170_1	NULL		278.28	246.83	0.89
F51234_1	PF08_0124	hypothetical protein	600.28	506.83	0.84
F51234_2	PF08_0124	hypothetical protein	726.28	595.5	0.82
F5128_8	MAL7P1.87	hypothetical protein	432.62	395.83	0.91
F51424_1	NULL		477.95	473.16	0.99
F51438_1	MAL6P1.60	hypothetical protein	475.88	514.53	1.08
F51552_2	PF07_0066	hypothetical protein	527.62	495.83	0.94
F51628_1	MAL7P1.29	hypothetical protein	585.28	607.16	1.04
F51756_1	PFI1730w	cytoadherence linked asexual protein (CLAG)	895.95	905.16	1.01
F51805_1	PF07_0072	calmodulin-domain protein kinase, putative	795.62	742.5	0.93
F51857_2	PF07_0086	hypothetical protein	650.95	509.5	0.78
F51945_2	MAL8P1.23	ubiquitin-protein ligase 1, putative	725.28	721.16	0.99
F51945_3	MAL8P1.23	ubiquitin-protein ligase 1, putative	864.95	761.83	0.88
F52051_1	MAL8P1.42	hypothetical protein	818.95	762.16	0.93
F5206_2	PF08_0010	hypothetical protein	373.62	342.16	0.92
F5206_4	MAL8P1.14	hypothetical protein	810.62	797.83	0.98
F5206_7	MAL8P1.14	hypothetical protein	504.62	468.5	0.93
F5206_9	PF08_0009	translation initiation factor EIF-2b alpha subunit, putative	652.62	638.16	0.98
F52084_1	PFI1650w	DNA excision-repair helicase, putative	925.62	792.83	0.86
F52120_1	PFE0830c	unknown protein, mb2	722.28	671.5	0.93
F52206_4	PFE1010w	protein phosphatase 2c, putative	499.62	519.83	1.04
F52397_2	PF08_0074	hypothetical protein, conserved	768.62	672.83	0.88
F52401_1	PF07_0101	hypothetical protein	515.62	477.5	0.93
F52444_1	PF07_0049	erythrocyte membrane protein 1 (PfEMP1)	1133.95	1389.5	1.23
F52511_1	PF08_0051	hypothetical protein	448.95	430.5	0.96
F5252_1	MAL8P1.65	hypothetical protein	444.62	487.83	1.1
F5253_1	PF11_0213	hypothetical protein	998.95	917.83	0.92
F52716_1	MAL6P1.117	hypothetical protein	1228.95	1109.16	0.9
F52797_1	PF11_0265	mitochondrial import inner membrane translocase, putative	474.95	494.5	1.04
F52907_2	PFE1230c	hypothetical protein, conserved	458.28	459.5	1
F52917_1	NULL		389.95	413.83	1.06
F53081_1	MAL8P1.17	disulfide isomerase precursor, putative	1225.62	1061.16	0.87
F53081_2	MAL8P1.17	disulfide isomerase precursor, putative	347.62	399.5	1.15
F53081_3	NULL		798.28	791.16	0.99
F53097_1	NULL		1738.95	492.16	0.28
F53097_3	PF08_0141	erythrocyte membrane protein 1 (PfEMP1)	288.95	-19.17	-1
F53097_4	PF08_0141	erythrocyte membrane protein 1 (PfEMP1)	450.28	464.83	1.03
F5310_2	NULL		457.62	521.5	1.14
F53320_1	MAL7P1.33	hypothetical protein	667.28	656.5	0.98
F53383_11	PFE1450c	hypothetical protein, conserved	495.62	415.5	0.84
F53383_7	PFE1455w	sugar transporter, putative	774.28	664.83	0.86
F53397_2	NULL		1062.62	1118.83	1.05
F53417_1	PF08_0107	erythrocyte membrane protein 1 (PfEMP1)	617.95	54.5	0.09
F53429_1	NULL		1029.28	996.5	0.97
F53446_1	PF08_0116	hypothetical protein	825.28	716.83	0.87
F53446_2	NULL		286.95	200.16	0.7
F53449_1	NULL		848.28	707.16	0.83
F53451_1	NULL		561.28	629.16	1.12
F53510_1	NULL		419.95	61.16	0.15
F53749_1	MAL8P1.13	integral membrane protein	457.95	420.16	0.92
F53854_2	MAL7P1.19	hypothetical protein	820.62	798.16	0.97
F53871_1	NULL		1088.28	885.16	0.81
F53897_1	MAL7P1.118	PelOta protein homologue, putative	726.28	696.83	0.96
F53897_2	MAL7P1.119	hypothetical protein	586.62	532.83	0.91
F53971_1	PF07_0118	hypothetical protein	513.28	429.5	0.84
F54003_1	MAL6P1.90	chaperone, putative	486.28	415.5	0.85
F54011_1	PF07_0077	hypothetical protein	895.95	825.5	0.92
F54088_1	PFL2125c	hypothetical protein	600.28	533.83	0.89
F54091_1	MAL8P1.57	C-13 antigen	919.62	911.16	0.99
F54097_1	MAL6P1.24	ATP dependent RNA helicase, putative	858.28	668.16	0.78
F54239_3	MAL6P1.99	hypothetical protein	412.28	515.5	1.25
F5429_1	MAL8P1.4	hypothetical protein	834.95	700.16	0.84
F54317_1	PF08_0069	importin beta, putative	781.28	727.83	0.93
F54372_1	NULL		801.62	666.16	0.83
F54417_1	NULL		1120.62	1163.83	1.04
F54683_1	PF07_0067	hypothetical protein	814.95	726.5	0.89
F54828_9	PFE1180c	hypothetical protein	369.62	388.16	1.05
F54854_1	PF07_0015	hypothetical protein	450.95	484.83	1.08
F54854_2	PF07_0015	hypothetical protein	287.95	284.16	0.99
F54899_1	MAL8P1.122	hypothetical protein	575.62	621.5	1.08
F54956_1	PFI0340c	hypothetical protein	2680.28	2777.83	1.04
F54997_4	NULL		509.62	552.5	1.08
F55001_1	NULL		708.62	635.16	0.9
F55001_5	MAL8P1.114	hypothetical protein	685.28	564.5	0.82
F55001_6	PF08_0101	hypothetical protein	609.95	547.5	0.9
F55061_5	NULL		10908.28	4351.16	0.4
F5510_1	PF00_0001	hypothetical protein	864.95	707.83	0.82
F55130_1	MAL6P1.174	hypothetical protein	550.95	532.83	0.97
F55150_2	PFI1830c	erythrocyte membrane protein 1 (PfEMP1)	700.62	56.16	0.08
F55215_1	MAL8P1.73	hypothetical protein	690.95	665.5	0.96
F55492_1	MAL7P1.171	hypothetical protein	1783.28	1587.5	0.89
F55601_1	MAL8P1.55	hypothetical protein	659.95	542.5	0.82
F55716_1	NULL		418.95	356.5	0.85
F55716_2	NULL		156.28	147.83	0.95
F55928_1	NULL		755.95	815.5	1.08
F55928_2	PFE0505w	cyclophilin, putative	573.95	656.16	1.14
F55928_5	PFE0510c	hypothetical protein	566.95	524.83	0.93
F55942_1	PF07_0133	rifin	408.28	13.16	0.03
F56085_1	MAL7P1.162	dynein heavy chain, putative	728.28	545.5	0.75
F56229_2	MAL7P1.95	hypothetical protein	743.28	756.16	1.02
F56229_4	PF07_0075	hypothetical protein	566.62	571.5	1.01
F56391_1	NULL		10549.62	13037.5	1.24
F56540_1	PF07_0125	hypothetical protein, conserved	553.62	534.83	0.97
F56710_2	NULL		150.28	118.5	0.79
F56775_5	PFE1155c	mitochondrial processing peptidase alpha subunit, putative	786.95	612.16	0.78
F56806_1	PF07_0107	hypothetical protein	902.28	865.16	0.96
F56837_1	PFI1210w	hypothetical protein	640.95	594.5	0.93
F57034_1	NULL		579.62	598.83	1.03
F57064_1	MAL8P1.20	hypothetical protein	482.95	517.16	1.07
F57064_2	MAL8P1.19	hypothetical protein, conserved	822.95	725.5	0.88
F57076_1	NULL		204.95	184.83	0.9
F57191_1	PFI1345c	hypothetical protein	1183.62	1053.5	0.89
F5729_1	NULL		108.88	79.53	0.73
F57388_1	PF07_0036	Cg6	922.95	878.83	0.95
F57388_2	PF07_0035	cg1 protein	586.95	471.5	0.8
F57655_2	PF11_0486	MAEBL, putative	1117.28	1037.5	0.93
F57655_3	PF11_0486	MAEBL, putative	501.62	492.5	0.98
F57661_1	PFD0840w	hypothetical protein	554.28	537.5	0.97
F57713_2	MAL7P1.172	hypothetical protein	822.28	750.16	0.91
F5774_1	MAL6P1.221	Plasmodium falciparum MSP8-like protein	662.95	694.83	1.05
F57777_1	MAL6P1.125	DNA polymerase epsilon, catalytic subunit a, putative	827.62	685.5	0.83
F57777_2	MAL6P1.125	DNA polymerase epsilon, catalytic subunit a, putative	660.95	593.16	0.9
F57839_1	NULL		1142.62	899.16	0.79
F57843_1	PF08_0030	hypothetical protein	921.95	905.83	0.98
F57982_1	MAL7P1.155	hypothetical protein	673.62	621.16	0.92
F58149_1	NULL		551.95	29.83	0.05
F58335_1	MAL7P1.21	origin recognition complex subunit, putative	616.28	613.16	0.99
F5836_1	MAL6P1.304	homologue of human HSPC025	528.28	537.5	1.02
F58487_1	PF07_0031	P. falciparum 3D7 starin heat shock protein 86	787.62	590.83	0.75
F58851_1	PFE0130c	hypothetical protein	534.62	620.16	1.16
F58910_1	MAL8P1.42	hypothetical protein	594.62	546.83	0.92
F58910_2	MAL8P1.42	hypothetical protein	746.95	728.83	0.98
F59075_2	NULL		1730.95	1498.83	0.87
